movie, score
between_worlds, 5.2
211, 4.4
Mandy, 6.6
humanity_bureau, 5.0
southern_fury, 4.0
vengeance, 5.2
uss_indianapolis, 5.2
dog_eat_dog, 4.7
outcast, 4.6
dying_of_light, 4.4
ghost_rider, 4.3
season_witch, 5.4
kick_ass, 7.6
national_treasure, 6.5
next, 6.2
ghost_rider_original, 5.2
weather_man, 6.6
lord_of_war, 7.6
adaptation, 7.7
sonny, 5.7
gone_60_seconds, 6.5
red_rock_west, 7.0
time_to_kill, 5.3
never_on_tuesday, 4.6
racing_with_the_moon, 6.8
boy_in_blue, 5.4
raising_arizona, 7.4
moonstruck, 7.1
